# y34
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  617776.30    	  5055.7769    
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	  84119.732    	  1754.4452    
 0.25000000    	 0.50000000    	  84505.968    	  1792.4712    
 0.50000000    	 0.75000000    	  82293.276    	  1692.2682    
 0.75000000    	  1.0000000    	  82624.747    	  1654.6938    
  1.0000000    	  1.2500000    	  82112.534    	  1733.5975    
  1.2500000    	  1.5000000    	  76947.720    	  1667.6003    
  1.5000000    	  1.7500000    	  63000.545    	  1452.7959    
  1.7500000    	  2.0000000    	  44957.965    	  1566.5552    
  2.0000000    	  2.2500000    	  14906.053    	  1704.5937    
  2.2500000    	  2.5000000    	  2307.7618    	  641.45474    
