# y34
# underflow	 -1.0752762    	  1.1822321    
# overflow	 0.10573321E-01	 0.15373027E-01
# sum	  1900551.4    	  8448.5385    
# xmin	xmax	cross	numerror
 -5.0000000    	 -4.7500000    	  45.040450    	  11.040272    
 -4.7500000    	 -4.5000000    	  879.25220    	  116.78300    
 -4.5000000    	 -4.2500000    	  4976.8240    	  496.74273    
 -4.2500000    	 -4.0000000    	  14283.919    	  849.66408    
 -4.0000000    	 -3.7500000    	  24280.797    	  1020.0398    
 -3.7500000    	 -3.5000000    	  33268.880    	  1131.9571    
 -3.5000000    	 -3.2500000    	  42147.692    	  1274.8117    
 -3.2500000    	 -3.0000000    	  47182.817    	  1329.9335    
 -3.0000000    	 -2.7500000    	  52243.251    	  1399.7333    
 -2.7500000    	 -2.5000000    	  55620.129    	  1444.9020    
 -2.5000000    	 -2.2500000    	  58347.208    	  1467.3301    
 -2.2500000    	 -2.0000000    	  60112.261    	  1487.1393    
 -2.0000000    	 -1.7500000    	  63011.523    	  1525.3510    
 -1.7500000    	 -1.5000000    	  65723.518    	  1552.4601    
 -1.5000000    	 -1.2500000    	  66875.287    	  1567.8699    
 -1.2500000    	 -1.0000000    	  69124.195    	  1595.6246    
 -1.0000000    	-0.75000000    	  71399.028    	  1619.1490    
-0.75000000    	-0.50000000    	  72027.780    	  1629.6726    
-0.50000000    	-0.25000000    	  73670.626    	  1651.4043    
-0.25000000    	  0.0000000    	  74834.852    	  1665.9523    
  0.0000000    	 0.25000000    	  74448.656    	  1656.4673    
 0.25000000    	 0.50000000    	  73596.781    	  1650.8798    
 0.50000000    	 0.75000000    	  72465.400    	  1638.5577    
 0.75000000    	  1.0000000    	  70627.215    	  1616.1236    
  1.0000000    	  1.2500000    	  69683.601    	  1599.4513    
  1.2500000    	  1.5000000    	  67115.303    	  1570.3416    
  1.5000000    	  1.7500000    	  65216.081    	  1552.2739    
  1.7500000    	  2.0000000    	  62998.705    	  1526.5419    
  2.0000000    	  2.2500000    	  60575.160    	  1496.4202    
  2.2500000    	  2.5000000    	  58336.240    	  1469.7141    
  2.5000000    	  2.7500000    	  55568.207    	  1441.4213    
  2.7500000    	  3.0000000    	  52382.417    	  1401.7916    
  3.0000000    	  3.2500000    	  47082.590    	  1327.8911    
  3.2500000    	  3.5000000    	  41509.320    	  1256.7993    
  3.5000000    	  3.7500000    	  33896.234    	  1158.0435    
  3.7500000    	  4.0000000    	  24448.556    	  1050.4959    
  4.0000000    	  4.2500000    	  14322.690    	  862.48938    
  4.2500000    	  4.5000000    	  5171.2152    	  478.46982    
  4.5000000    	  4.7500000    	  1005.6136    	  120.23902    
  4.7500000    	  5.0000000    	  47.577947    	  9.2657067    
