# pt34_fine
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	 -11313835.    	  18827.646    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  0.0000000    	  0.0000000    
  1.0000000    	  2.0000000    	 -941950.88    	  5785.8810    
  2.0000000    	  3.0000000    	 -1241456.3    	  6055.8418    
  3.0000000    	  4.0000000    	 -1054455.0    	  5589.9290    
  4.0000000    	  5.0000000    	 -872388.15    	  5117.4826    
  5.0000000    	  6.0000000    	 -728880.24    	  4705.8881    
  6.0000000    	  7.0000000    	 -617353.74    	  4346.5108    
  7.0000000    	  8.0000000    	 -529138.25    	  4034.9640    
  8.0000000    	  9.0000000    	 -459778.99    	  3773.9626    
  9.0000000    	  10.000000    	 -402787.89    	  3535.8537    
  10.000000    	  11.000000    	 -356412.20    	  3332.0476    
  11.000000    	  12.000000    	 -317256.53    	  3151.1025    
  12.000000    	  13.000000    	 -283973.32    	  2988.9813    
  13.000000    	  14.000000    	 -256220.89    	  2838.1652    
  14.000000    	  15.000000    	 -231992.63    	  2704.1635    
  15.000000    	  16.000000    	 -211181.36    	  2583.3218    
  16.000000    	  17.000000    	 -192585.50    	  2467.9844    
  17.000000    	  18.000000    	 -176418.80    	  2367.1650    
  18.000000    	  19.000000    	 -162062.68    	  2257.1345    
  19.000000    	  20.000000    	 -149112.84    	  2175.2513    
  20.000000    	  21.000000    	 -138020.26    	  2096.7611    
  21.000000    	  22.000000    	 -128036.55    	  2020.3525    
  22.000000    	  23.000000    	 -118604.70    	  1943.3297    
  23.000000    	  24.000000    	 -109987.26    	  1868.8601    
  24.000000    	  25.000000    	 -102588.86    	  1806.2184    
  25.000000    	  26.000000    	 -95677.430    	  1742.9144    
  26.000000    	  27.000000    	 -89122.704    	  1684.4875    
  27.000000    	  28.000000    	 -83737.501    	  1648.5348    
  28.000000    	  29.000000    	 -78171.304    	  1582.3446    
  29.000000    	  30.000000    	 -73169.350    	  1522.2905    
  30.000000    	  31.000000    	 -68589.467    	  1495.1920    
  31.000000    	  32.000000    	 -64574.001    	  1427.6525    
  32.000000    	  33.000000    	 -60755.241    	  1401.7041    
  33.000000    	  34.000000    	 -57069.815    	  1345.6123    
  34.000000    	  35.000000    	 -53644.593    	  1322.4504    
  35.000000    	  36.000000    	 -50427.727    	  1257.8371    
  36.000000    	  37.000000    	 -47672.839    	  1255.6617    
  37.000000    	  38.000000    	 -44803.687    	  1183.7347    
  38.000000    	  39.000000    	 -42562.580    	  1183.3003    
  39.000000    	  40.000000    	 -39887.966    	  1145.2887    
  40.000000    	  41.000000    	 -37611.716    	  1080.4665    
  41.000000    	  42.000000    	 -35591.974    	  1096.2184    
  42.000000    	  43.000000    	 -33695.327    	  1062.3363    
  43.000000    	  44.000000    	 -31630.157    	  997.06213    
  44.000000    	  45.000000    	 -30028.225    	  974.59706    
  45.000000    	  46.000000    	 -28164.954    	  995.01202    
  46.000000    	  47.000000    	 -26557.687    	  939.80905    
  47.000000    	  48.000000    	 -25324.543    	  894.53800    
  48.000000    	  49.000000    	 -23830.910    	  841.06513    
  49.000000    	  50.000000    	 -22457.519    	  902.45239    
  50.000000    	  51.000000    	 -21107.293    	  859.82103    
  51.000000    	  52.000000    	 -20409.772    	  832.11126    
  52.000000    	  53.000000    	 -18744.378    	  767.02937    
  53.000000    	  54.000000    	 -17819.492    	  729.04072    
  54.000000    	  55.000000    	 -16671.343    	  723.63429    
  55.000000    	  56.000000    	 -15784.702    	  787.48491    
  56.000000    	  57.000000    	 -14959.439    	  756.80001    
  57.000000    	  58.000000    	 -13995.975    	  707.04982    
  58.000000    	  59.000000    	 -12892.887    	  674.21649    
  59.000000    	  60.000000    	 -12355.882    	  627.13969    
  60.000000    	  61.000000    	 -11726.622    	  604.12685    
  61.000000    	  62.000000    	 -10759.764    	  554.28009    
  62.000000    	  63.000000    	 -10256.441    	  531.63336    
  63.000000    	  64.000000    	 -9291.4580    	  669.62652    
  64.000000    	  65.000000    	 -8536.8446    	  645.73817    
  65.000000    	  66.000000    	 -8180.2609    	  629.27194    
  66.000000    	  67.000000    	 -7360.2805    	  575.12796    
  67.000000    	  68.000000    	 -6980.2137    	  542.90552    
  68.000000    	  69.000000    	 -6478.0257    	  519.81879    
  69.000000    	  70.000000    	 -6023.4267    	  484.13001    
  70.000000    	  71.000000    	 -5492.6481    	  451.97271    
  71.000000    	  72.000000    	 -4972.9989    	  413.64850    
