# pt34_fine
# underflow	  0.0000000    	  0.0000000    
# overflow	  42.865910    	  8.7943719    
# sum	  613232.89    	  5311.4473    
# xmin	xmax	cross	numerror
  0.0000000    	  2.0000000    	  33898.442    	  1917.5426    
  2.0000000    	  3.0000000    	  30185.884    	  1478.8850    
  3.0000000    	  4.0000000    	  34899.240    	  1357.4083    
  4.0000000    	  5.0000000    	  36591.981    	  1288.7062    
  5.0000000    	  6.0000000    	  36968.112    	  1150.0275    
  6.0000000    	  7.0000000    	  33557.877    	  1139.1916    
  7.0000000    	  8.0000000    	  31860.078    	  1097.7019    
  8.0000000    	  9.0000000    	  28908.136    	  1079.9191    
  9.0000000    	  10.000000    	  27200.476    	  1006.0693    
  10.000000    	  12.000000    	  46742.437    	  1335.3933    
  12.000000    	  14.000000    	  40879.650    	  1191.9941    
  14.000000    	  16.000000    	  34409.163    	  1107.2794    
  16.000000    	  18.000000    	  30144.730    	  1069.3089    
  18.000000    	  20.000000    	  25519.870    	  924.34356    
  20.000000    	  23.000000    	  30967.049    	  1016.8045    
  23.000000    	  27.000000    	  33267.367    	  1113.6555    
  27.000000    	  32.000000    	  28013.668    	  1060.0062    
  32.000000    	  40.000000    	  23450.691    	  1060.6404    
  40.000000    	  55.000000    	  17480.102    	  1095.1927    
  55.000000    	  100.00000    	  8245.0758    	  830.76474    
