# pt34_8    
# underflow	  0.0000000    	  0.0000000    
# overflow	  2.3608544    	  1.7327781    
# sum	  72240.418    	  1684.0877    
# xmin	xmax	cross	numerror
  0.0000000    	  2.0000000    	  3984.2942    	  632.77306    
  2.0000000    	  3.0000000    	  3831.3448    	  478.35151    
  3.0000000    	  4.0000000    	  3853.6458    	  436.89283    
  4.0000000    	  5.0000000    	  4470.6449    	  409.23540    
  5.0000000    	  6.0000000    	  4748.4740    	  382.46360    
  6.0000000    	  7.0000000    	  3693.6913    	  359.53577    
  7.0000000    	  8.0000000    	  3743.2831    	  363.58635    
  8.0000000    	  9.0000000    	  3700.4245    	  322.04023    
  9.0000000    	  10.000000    	  3067.8322    	  306.84848    
  10.000000    	  12.000000    	  5385.6263    	  426.27297    
  12.000000    	  14.000000    	  4970.3662    	  401.06237    
  14.000000    	  16.000000    	  3959.0036    	  342.46867    
  16.000000    	  18.000000    	  3406.3961    	  322.90975    
  18.000000    	  20.000000    	  2742.7381    	  291.92187    
  20.000000    	  23.000000    	  3375.5254    	  328.43248    
  23.000000    	  27.000000    	  4216.6298    	  357.76217    
  27.000000    	  32.000000    	  2849.9524    	  308.82674    
  32.000000    	  40.000000    	  2937.6019    	  326.91789    
  40.000000    	  55.000000    	  1902.0560    	  295.44382    
  55.000000    	  100.00000    	  1398.5266    	  261.22936    
