# pt34_3    
# underflow	  0.0000000    	  0.0000000    
# overflow	  4.9021371    	  3.0655983    
# sum	  81185.224    	  1775.7877    
# xmin	xmax	cross	numerror
  0.0000000    	  2.0000000    	  3384.2991    	  604.56830    
  2.0000000    	  3.0000000    	  3711.9854    	  458.61297    
  3.0000000    	  4.0000000    	  4928.4888    	  437.78483    
  4.0000000    	  5.0000000    	  4703.5480    	  411.76773    
  5.0000000    	  6.0000000    	  4700.8480    	  407.14804    
  6.0000000    	  7.0000000    	  4394.8917    	  397.39041    
  7.0000000    	  8.0000000    	  4302.4165    	  366.37050    
  8.0000000    	  9.0000000    	  4143.9054    	  374.40413    
  9.0000000    	  10.000000    	  3555.5135    	  320.58974    
  10.000000    	  12.000000    	  6158.8890    	  433.88088    
  12.000000    	  14.000000    	  5618.7057    	  430.56290    
  14.000000    	  16.000000    	  4663.9167    	  377.76593    
  16.000000    	  18.000000    	  4210.3694    	  343.24684    
  18.000000    	  20.000000    	  3586.2705    	  326.60510    
  20.000000    	  23.000000    	  4894.9069    	  379.97761    
  23.000000    	  27.000000    	  3853.6430    	  356.57281    
  27.000000    	  32.000000    	  3737.6547    	  397.06573    
  32.000000    	  40.000000    	  3464.1881    	  386.21616    
  40.000000    	  55.000000    	  2549.6311    	  402.39220    
  55.000000    	  100.00000    	  616.25074    	  185.46993    
