# pt34_11   
# underflow	  0.0000000    	  0.0000000    
# overflow	  2008.4551    	  31.297289    
# sum	  132120.06    	  3486.1613    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  531.00216    	  137.09971    
  1.0000000    	  2.0000000    	  3041.7083    	  948.92818    
  2.0000000    	  3.0000000    	  5053.2071    	  760.02383    
  3.0000000    	  4.0000000    	  6402.3738    	  702.77651    
  4.0000000    	  5.0000000    	  6676.3251    	  705.62906    
  5.0000000    	  6.0000000    	  5399.7318    	  637.51888    
  6.0000000    	  7.0000000    	  5235.3407    	  613.46256    
  7.0000000    	  8.0000000    	  5487.7943    	  587.32262    
  8.0000000    	  9.0000000    	  5154.9702    	  570.22849    
  9.0000000    	  10.000000    	  4096.7713    	  507.59047    
  10.000000    	  11.000000    	  4676.6015    	  533.37422    
  11.000000    	  12.000000    	  3574.6597    	  498.58877    
  12.000000    	  13.000000    	  3919.3740    	  474.88900    
  13.000000    	  14.000000    	  3191.7504    	  441.22448    
  14.000000    	  15.000000    	  2885.9718    	  432.94212    
  15.000000    	  16.000000    	  2972.0949    	  412.97259    
  16.000000    	  17.000000    	  2680.9211    	  399.09325    
  17.000000    	  18.000000    	  1980.6545    	  365.77033    
  18.000000    	  19.000000    	  2165.8266    	  370.08308    
  19.000000    	  20.000000    	  1936.7167    	  341.66476    
  20.000000    	  21.000000    	  2242.6796    	  347.59809    
  21.000000    	  22.000000    	  1641.5478    	  316.52251    
  22.000000    	  23.000000    	  1346.2333    	  284.11578    
  23.000000    	  24.000000    	  2029.3421    	  340.31484    
  24.000000    	  25.000000    	  1545.5447    	  296.89186    
  25.000000    	  26.000000    	  1165.4616    	  267.78139    
  26.000000    	  27.000000    	  1073.6564    	  258.83300    
  27.000000    	  28.000000    	  1072.0439    	  245.82289    
  28.000000    	  29.000000    	  1178.5789    	  249.87110    
  29.000000    	  30.000000    	  757.92582    	  220.39874    
  30.000000    	  31.000000    	  1155.1569    	  262.81782    
