# y34
# underflow	  0.0000000    	  0.0000000    
# overflow	  1485.4193    	  515.63286    
# sum	  11627472.    	  69254.375    
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	  750832.99    	  17028.907    
 0.25000000    	 0.50000000    	  739456.83    	  17031.483    
 0.50000000    	 0.75000000    	  744008.41    	  16819.630    
 0.75000000    	  1.0000000    	  744680.78    	  16788.850    
  1.0000000    	  1.2500000    	  742211.31    	  16651.726    
  1.2500000    	  1.5000000    	  732762.50    	  16540.997    
  1.5000000    	  1.7500000    	  726493.54    	  16590.608    
  1.7500000    	  2.0000000    	  725012.43    	  16576.946    
  2.0000000    	  2.2500000    	  733618.03    	  16678.436    
  2.2500000    	  2.5000000    	  718355.74    	  16850.392    
  2.5000000    	  2.7500000    	  717513.37    	  17006.057    
  2.7500000    	  3.0000000    	  699022.29    	  17165.398    
  3.0000000    	  3.2500000    	  682436.84    	  17359.069    
  3.2500000    	  3.5000000    	  638050.53    	  17080.659    
  3.5000000    	  4.0000000    	  992115.84    	  21971.353    
  4.0000000    	  5.0000000    	  539415.61    	  18120.838    
