# pt34_9    
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  60212.215    	  1262.1036    
# xmin	xmax	cross	numerror
  0.0000000    	  2.0000000    	  3027.2488    	  284.42969    
  2.0000000    	  3.0000000    	  3105.8766    	  281.47623    
  3.0000000    	  4.0000000    	  3612.3218    	  306.70340    
  4.0000000    	  5.0000000    	  3551.9547    	  302.38167    
  5.0000000    	  6.0000000    	  3498.2911    	  289.01209    
  6.0000000    	  7.0000000    	  2876.3187    	  276.17178    
  7.0000000    	  8.0000000    	  2873.9744    	  265.00295    
  8.0000000    	  9.0000000    	  2901.8582    	  274.69241    
  9.0000000    	  10.000000    	  2586.7948    	  238.37267    
  10.000000    	  12.000000    	  4834.1558    	  350.95450    
  12.000000    	  14.000000    	  4071.8857    	  321.34430    
  14.000000    	  16.000000    	  3541.1765    	  306.06931    
  16.000000    	  18.000000    	  3060.9351    	  286.17356    
  18.000000    	  20.000000    	  2517.4440    	  253.20315    
  20.000000    	  23.000000    	  3374.5304    	  299.93561    
  23.000000    	  27.000000    	  3374.9271    	  301.99419    
  27.000000    	  32.000000    	  3263.3564    	  306.83615    
  32.000000    	  40.000000    	  2067.5649    	  266.66312    
  40.000000    	  55.000000    	  1569.6319    	  226.25098    
  55.000000    	  100.00000    	  501.96786    	  145.76011    
