# y34
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  647356.82    	  4410.5794    
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	  91682.045    	  1548.5218    
 0.25000000    	 0.50000000    	  92581.047    	  1589.3536    
 0.50000000    	 0.75000000    	  88403.114    	  1447.6679    
 0.75000000    	  1.0000000    	  90006.601    	  1563.0721    
  1.0000000    	  1.2500000    	  86209.358    	  1456.9247    
  1.2500000    	  1.5000000    	  77895.923    	  1371.7549    
  1.5000000    	  1.7500000    	  62496.737    	  1254.8610    
  1.7500000    	  2.0000000    	  41970.868    	  1362.3889    
  2.0000000    	  2.2500000    	  14262.234    	  1356.3287    
  2.2500000    	  2.5000000    	  1848.8968    	  845.90790    
